date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:14	1026/1026	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:26%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/bootstrap.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/bootstrap.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:14	2385/2385	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:25%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/sass.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/sass.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:14	4821/4821	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:23%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/react-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/react-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:14	2063/2063	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:24%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/vue-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/vue-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:15	3274/3274	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:27%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/angular-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/angular-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:15	3006/3006	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:29%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/html-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/html-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:15	1349/1349	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:23%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/bootstrap-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/bootstrap-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:15	3831/3831	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Jan%202019%2016:28:28%20GMT	https://dashboardpack.com/wp-content/themes/dashboardpack/images/tags/sass-lg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/themes/dashboardpack/images/tags/sass-lg.png	(from https://dashboardpack.com/wp-content/themes/dashboardpack/style.css)
11:49:16	932/932	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202019%2005:03:34%20GMT	https://dashboardpack.com/wp-content/plugins/super-socializer/images/transparent_bg.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/plugins/super-socializer/images/transparent_bg.png	(from https://dashboardpack.com/wp-content/plugins/super-socializer/css/front.css)
11:49:16	6047/6047	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Jun%202019%2005:03:34%20GMT	https://dashboardpack.com/wp-content/plugins/super-socializer/images/login/login.png	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/wp-content/plugins/super-socializer/images/login/login.png	(from https://dashboardpack.com/wp-content/plugins/super-socializer/css/front.css)
11:49:17	0/0	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jul%202019%2010:49:15%20GMT	https://dashboardpack.com/live-demo-preview/?livedemo=2386&SuperSocializerAuth=LiveJournal	C:/My%20Web%20Sites/test2/test2/dashboardpack.com/live-demo-preview/indexf964.html	(from https://dashboardpack.com/live-demo-preview/?livedemo=2386)
